Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Mon, Nov 22, 2021",7:00p,Brooklyn Nets,117,Cleveland Cavaliers,112,Box Score,,"17,387",
"Mon, Nov 22, 2021",7:00p,Charlotte Hornets,109,Washington Wizards,103,Box Score,,"16,575",
"Mon, Nov 22, 2021",7:30p,Oklahoma City Thunder,101,Atlanta Hawks,113,Box Score,,"15,806",
"Mon, Nov 22, 2021",7:30p,Houston Rockets,90,Boston Celtics,108,Box Score,,"19,156",
"Mon, Nov 22, 2021",8:00p,Indiana Pacers,109,Chicago Bulls,77,Box Score,,"21,586",
"Mon, Nov 22, 2021",8:00p,Orlando Magic,92,Milwaukee Bucks,123,Box Score,,"17,341",
"Mon, Nov 22, 2021",8:00p,Minnesota Timberwolves,110,New Orleans Pelicans,96,Box Score,,"15,689",
"Mon, Nov 22, 2021",8:30p,Phoenix Suns,115,San Antonio Spurs,111,Box Score,,"14,715",
"Mon, Nov 22, 2021",9:00p,Memphis Grizzlies,119,Utah Jazz,118,Box Score,,"18,306",
"Mon, Nov 22, 2021",10:00p,Philadelphia 76ers,102,Sacramento Kings,94,Box Score,,"13,948",
"Tue, Nov 23, 2021",7:00p,Miami Heat,100,Detroit Pistons,92,Box Score,,"13,123",
"Tue, Nov 23, 2021",7:30p,Los Angeles Lakers,100,New York Knicks,106,Box Score,,"19,812",
"Tue, Nov 23, 2021",10:00p,Denver Nuggets,100,Portland Trail Blazers,119,Box Score,,"17,052",
"Tue, Nov 23, 2021",10:30p,Dallas Mavericks,112,Los Angeles Clippers,104,Box Score,OT,"17,067",
"Wed, Nov 24, 2021",7:00p,Phoenix Suns,120,Cleveland Cavaliers,115,Box Score,,"18,055",
"Wed, Nov 24, 2021",7:00p,Los Angeles Lakers,124,Indiana Pacers,116,Box Score,OT,"15,572",
"Wed, Nov 24, 2021",7:00p,Charlotte Hornets,106,Orlando Magic,99,Box Score,,"16,114",
"Wed, Nov 24, 2021",7:30p,Brooklyn Nets,123,Boston Celtics,104,Box Score,,"19,156",
"Wed, Nov 24, 2021",8:00p,Chicago Bulls,113,Houston Rockets,118,Box Score,,"16,074",
"Wed, Nov 24, 2021",8:00p,Toronto Raptors,126,Memphis Grizzlies,113,Box Score,,"15,409",
"Wed, Nov 24, 2021",8:00p,Detroit Pistons,93,Milwaukee Bucks,114,Box Score,,"17,341",
"Wed, Nov 24, 2021",8:00p,Miami Heat,101,Minnesota Timberwolves,113,Box Score,,"17,136",
"Wed, Nov 24, 2021",8:00p,Washington Wizards,102,New Orleans Pelicans,127,Box Score,,"14,659",
"Wed, Nov 24, 2021",8:00p,Utah Jazz,110,Oklahoma City Thunder,104,Box Score,,"14,081",
"Wed, Nov 24, 2021",8:30p,Atlanta Hawks,124,San Antonio Spurs,106,Box Score,,"13,161",
"Wed, Nov 24, 2021",10:00p,Philadelphia 76ers,96,Golden State Warriors,116,Box Score,,"18,064",
"Wed, Nov 24, 2021",10:00p,Portland Trail Blazers,121,Sacramento Kings,125,Box Score,,"14,997",
"Fri, Nov 26, 2021",3:30p,Detroit Pistons,96,Los Angeles Clippers,107,Box Score,,"18,139",
"Fri, Nov 26, 2021",7:00p,Minnesota Timberwolves,115,Charlotte Hornets,133,Box Score,,"19,314",
"Fri, Nov 26, 2021",7:00p,Phoenix Suns,118,New York Knicks,97,Box Score,,"19,812",
"Fri, Nov 26, 2021",7:00p,Chicago Bulls,123,Orlando Magic,88,Box Score,,"18,236",
"Fri, Nov 26, 2021",8:00p,Toronto Raptors,97,Indiana Pacers,114,Box Score,,"13,508",
"Fri, Nov 26, 2021",8:00p,Atlanta Hawks,132,Memphis Grizzlies,100,Box Score,,"16,622",
"Fri, Nov 26, 2021",8:00p,Washington Wizards,101,Oklahoma City Thunder,99,Box Score,,"14,579",
"Fri, Nov 26, 2021",8:30p,Boston Celtics,88,San Antonio Spurs,96,Box Score,,"15,360",
"Fri, Nov 26, 2021",9:00p,Milwaukee Bucks,120,Denver Nuggets,109,Box Score,,"19,520",
"Fri, Nov 26, 2021",9:00p,New Orleans Pelicans,98,Utah Jazz,97,Box Score,,"18,306",
"Fri, Nov 26, 2021",10:00p,Portland Trail Blazers,103,Golden State Warriors,118,Box Score,,"18,064",
"Fri, Nov 26, 2021",10:30p,Sacramento Kings,141,Los Angeles Lakers,137,Box Score,3OT,"18,997",
"Sat, Nov 27, 2021",6:00p,Minnesota Timberwolves,121,Philadelphia 76ers,120,Box Score,2OT,"21,011",
"Sat, Nov 27, 2021",7:30p,New York Knicks,99,Atlanta Hawks,90,Box Score,,"17,287",
"Sat, Nov 27, 2021",7:30p,Phoenix Suns,113,Brooklyn Nets,107,Box Score,,"18,071",
"Sat, Nov 27, 2021",8:00p,Miami Heat,107,Chicago Bulls,104,Box Score,,"21,110",
"Sat, Nov 27, 2021",8:00p,Orlando Magic,92,Cleveland Cavaliers,105,Box Score,,"18,248",
"Sat, Nov 27, 2021",8:00p,Charlotte Hornets,143,Houston Rockets,146,Box Score,OT,"14,687",
"Sat, Nov 27, 2021",8:30p,Washington Wizards,120,Dallas Mavericks,114,Box Score,,"20,223",
"Sat, Nov 27, 2021",9:00p,New Orleans Pelicans,105,Utah Jazz,127,Box Score,,"18,306",
"Sun, Nov 28, 2021",3:30p,Golden State Warriors,105,Los Angeles Clippers,90,Box Score,,"19,068",
"Sun, Nov 28, 2021",5:00p,Milwaukee Bucks,118,Indiana Pacers,100,Box Score,,"13,130",
"Sun, Nov 28, 2021",6:00p,Sacramento Kings,101,Memphis Grizzlies,128,Box Score,,"12,844",
"Sun, Nov 28, 2021",6:00p,Boston Celtics,109,Toronto Raptors,97,Box Score,,"19,800",
"Sun, Nov 28, 2021",9:30p,Detroit Pistons,106,Los Angeles Lakers,110,Box Score,,"18,997",
"Mon, Nov 29, 2021",7:00p,Orlando Magic,96,Philadelphia 76ers,101,Box Score,,"20,193",
"Mon, Nov 29, 2021",7:30p,Denver Nuggets,120,Miami Heat,111,Box Score,,"19,600",
"Mon, Nov 29, 2021",8:00p,Charlotte Hornets,119,Chicago Bulls,133,Box Score,,"21,366",
"Mon, Nov 29, 2021",8:00p,Oklahoma City Thunder,89,Houston Rockets,102,Box Score,,"12,829",
"Mon, Nov 29, 2021",8:00p,Indiana Pacers,98,Minnesota Timberwolves,100,Box Score,,"14,191",
"Mon, Nov 29, 2021",8:30p,Cleveland Cavaliers,114,Dallas Mavericks,96,Box Score,,"19,229",
"Mon, Nov 29, 2021",8:30p,Washington Wizards,99,San Antonio Spurs,116,Box Score,,"12,606",
"Mon, Nov 29, 2021",9:00p,Portland Trail Blazers,107,Utah Jazz,129,Box Score,,"18,306",
"Mon, Nov 29, 2021",10:30p,New Orleans Pelicans,123,Los Angeles Clippers,104,Box Score,,"15,691",
"Tue, Nov 30, 2021",7:30p,New York Knicks,110,Brooklyn Nets,112,Box Score,,"18,081",
"Tue, Nov 30, 2021",7:30p,Memphis Grizzlies,98,Toronto Raptors,91,Box Score,,"19,800",
"Tue, Nov 30, 2021",10:00p,Golden State Warriors,96,Phoenix Suns,104,Box Score,,"17,071",
"Tue, Nov 30, 2021",10:00p,Detroit Pistons,92,Portland Trail Blazers,110,Box Score,,"16,071",
"Tue, Nov 30, 2021",10:00p,Los Angeles Lakers,117,Sacramento Kings,92,Box Score,,"12,459",
"Wed, Dec 1, 2021",7:00p,Atlanta Hawks,114,Indiana Pacers,111,Box Score,,"12,656",
"Wed, Dec 1, 2021",7:00p,Denver Nuggets,103,Orlando Magic,108,Box Score,,"14,191",
"Wed, Dec 1, 2021",7:00p,Minnesota Timberwolves,107,Washington Wizards,115,Box Score,,"15,318",
"Wed, Dec 1, 2021",7:30p,Philadelphia 76ers,87,Boston Celtics,88,Box Score,,"19,156",
"Wed, Dec 1, 2021",7:30p,Cleveland Cavaliers,111,Miami Heat,85,Box Score,,"19,600",
"Wed, Dec 1, 2021",8:00p,Charlotte Hornets,125,Milwaukee Bucks,127,Box Score,,"17,341",
"Wed, Dec 1, 2021",8:00p,Dallas Mavericks,139,New Orleans Pelicans,107,Box Score,,"15,558",
"Wed, Dec 1, 2021",8:00p,Houston Rockets,114,Oklahoma City Thunder,110,Box Score,,"13,222",
"Wed, Dec 1, 2021",10:30p,Sacramento Kings,124,Los Angeles Clippers,115,Box Score,,"17,217",
"Thu, Dec 2, 2021",7:30p,Chicago Bulls,119,New York Knicks,115,Box Score,,"19,812",
"Thu, Dec 2, 2021",7:30p,Milwaukee Bucks,93,Toronto Raptors,97,Box Score,,"19,800",
"Thu, Dec 2, 2021",8:00p,Oklahoma City Thunder,79,Memphis Grizzlies,152,Box Score,,"13,103",
"Thu, Dec 2, 2021",9:00p,Detroit Pistons,103,Phoenix Suns,114,Box Score,,0,
"Thu, Dec 2, 2021",10:00p,San Antonio Spurs,114,Portland Trail Blazers,83,Box Score,,"16,143",
"Fri, Dec 3, 2021",7:00p,Miami Heat,113,Indiana Pacers,104,Box Score,,"13,854",
"Fri, Dec 3, 2021",7:00p,Cleveland Cavaliers,116,Washington Wizards,101,Box Score,,"17,227",
"Fri, Dec 3, 2021",7:30p,Philadelphia 76ers,98,Atlanta Hawks,96,Box Score,,"17,092",
"Fri, Dec 3, 2021",7:30p,Minnesota Timberwolves,105,Brooklyn Nets,110,Box Score,,"17,732",
"Fri, Dec 3, 2021",8:00p,Orlando Magic,116,Houston Rockets,118,Box Score,,"13,697",
"Fri, Dec 3, 2021",8:30p,New Orleans Pelicans,107,Dallas Mavericks,91,Box Score,,"19,218",
"Fri, Dec 3, 2021",9:00p,Boston Celtics,130,Utah Jazz,137,Box Score,,"18,306",
"Fri, Dec 3, 2021",10:00p,Phoenix Suns,96,Golden State Warriors,118,Box Score,,"18,064",
"Fri, Dec 3, 2021",10:00p,Los Angeles Clippers,119,Los Angeles Lakers,115,Box Score,,"18,997",
"Sat, Dec 4, 2021",1:00p,Denver Nuggets,113,New York Knicks,99,Box Score,,"18,272",
"Sat, Dec 4, 2021",8:00p,Chicago Bulls,111,Brooklyn Nets,107,Box Score,,"18,116",
"Sat, Dec 4, 2021",8:00p,Miami Heat,102,Milwaukee Bucks,124,Box Score,,"17,341",
"Sat, Dec 4, 2021",8:30p,Memphis Grizzlies,97,Dallas Mavericks,90,Box Score,,"19,396",
"Sat, Dec 4, 2021",8:30p,San Antonio Spurs,112,Golden State Warriors,107,Box Score,,"18,064",
"Sat, Dec 4, 2021",10:00p,Boston Celtics,145,Portland Trail Blazers,117,Box Score,,"18,193",
"Sat, Dec 4, 2021",10:00p,Los Angeles Clippers,99,Sacramento Kings,104,Box Score,,"15,004",
"Sun, Dec 5, 2021",3:30p,Utah Jazz,109,Cleveland Cavaliers,108,Box Score,,"18,113",
"Sun, Dec 5, 2021",6:00p,Charlotte Hornets,130,Atlanta Hawks,127,Box Score,,"16,383",
"Sun, Dec 5, 2021",6:00p,Washington Wizards,90,Toronto Raptors,102,Box Score,,"19,800",
"Sun, Dec 5, 2021",7:00p,New Orleans Pelicans,108,Houston Rockets,118,Box Score,,"14,771",
"Mon, Dec 6, 2021",7:00p,Philadelphia 76ers,127,Charlotte Hornets,124,Box Score,OT,"14,462",
"Mon, Dec 6, 2021",7:00p,Oklahoma City Thunder,114,Detroit Pistons,103,Box Score,,"10,522",
"Mon, Dec 6, 2021",7:00p,Washington Wizards,110,Indiana Pacers,116,Box Score,,"12,581",
"Mon, Dec 6, 2021",7:30p,Memphis Grizzlies,105,Miami Heat,90,Box Score,,"19,600",
"Mon, Dec 6, 2021",8:00p,Denver Nuggets,97,Chicago Bulls,109,Box Score,,"21,236",
"Mon, Dec 6, 2021",8:00p,Cleveland Cavaliers,104,Milwaukee Bucks,112,Box Score,,"17,341",
"Mon, Dec 6, 2021",8:00p,Atlanta Hawks,121,Minnesota Timberwolves,110,Box Score,,"15,736",
"Mon, Dec 6, 2021",9:00p,San Antonio Spurs,104,Phoenix Suns,108,Box Score,,"15,292",
"Mon, Dec 6, 2021",10:00p,Orlando Magic,95,Golden State Warriors,126,Box Score,,"18,064",
"Mon, Dec 6, 2021",10:00p,Los Angeles Clippers,102,Portland Trail Blazers,90,Box Score,,"15,865",
"Tue, Dec 7, 2021",7:30p,Brooklyn Nets,102,Dallas Mavericks,99,Box Score,,"19,559",
"Tue, Dec 7, 2021",8:30p,New York Knicks,121,San Antonio Spurs,109,Box Score,,"14,698",
"Tue, Dec 7, 2021",10:00p,Boston Celtics,102,Los Angeles Lakers,117,Box Score,,"18,997",
"Wed, Dec 8, 2021",7:00p,Philadelphia 76ers,110,Charlotte Hornets,106,Box Score,,"15,709",
"Wed, Dec 8, 2021",7:00p,Chicago Bulls,92,Cleveland Cavaliers,115,Box Score,,"17,707",
"Wed, Dec 8, 2021",7:00p,Washington Wizards,119,Detroit Pistons,116,Box Score,OT,"10,499",
"Wed, Dec 8, 2021",7:00p,New York Knicks,102,Indiana Pacers,122,Box Score,,"13,167",
"Wed, Dec 8, 2021",7:30p,Milwaukee Bucks,104,Miami Heat,113,Box Score,,"19,600",
"Wed, Dec 8, 2021",7:30p,Oklahoma City Thunder,110,Toronto Raptors,109,Box Score,,"19,800",
"Wed, Dec 8, 2021",8:00p,Brooklyn Nets,104,Houston Rockets,114,Box Score,,"15,834",
"Wed, Dec 8, 2021",8:00p,Dallas Mavericks,104,Memphis Grizzlies,96,Box Score,,"14,025",
"Wed, Dec 8, 2021",8:00p,Utah Jazz,136,Minnesota Timberwolves,104,Box Score,,"15,181",
"Wed, Dec 8, 2021",8:00p,Denver Nuggets,120,New Orleans Pelicans,114,Box Score,OT,"15,035",
"Wed, Dec 8, 2021",10:00p,Portland Trail Blazers,94,Golden State Warriors,104,Box Score,,"18,064",
"Wed, Dec 8, 2021",10:00p,Orlando Magic,130,Sacramento Kings,142,Box Score,,"14,364",
"Wed, Dec 8, 2021",10:30p,Boston Celtics,111,Los Angeles Clippers,114,Box Score,,"17,064",
"Thu, Dec 9, 2021",7:00p,Utah Jazz,118,Philadelphia 76ers,96,Box Score,,"20,272",
"Thu, Dec 9, 2021",8:00p,Los Angeles Lakers,95,Memphis Grizzlies,108,Box Score,,"16,334",
"Thu, Dec 9, 2021",8:30p,Denver Nuggets,111,San Antonio Spurs,123,Box Score,,"12,855",
"Fri, Dec 10, 2021",7:00p,Sacramento Kings,123,Charlotte Hornets,124,Box Score,,"16,335",
"Fri, Dec 10, 2021",7:00p,Dallas Mavericks,93,Indiana Pacers,106,Box Score,,"12,618",
"Fri, Dec 10, 2021",7:30p,Brooklyn Nets,113,Atlanta Hawks,105,Box Score,,"17,074",
"Fri, Dec 10, 2021",7:30p,New York Knicks,87,Toronto Raptors,90,Box Score,,"19,800",
"Fri, Dec 10, 2021",8:00p,Milwaukee Bucks,123,Houston Rockets,114,Box Score,,"16,319",
"Fri, Dec 10, 2021",8:00p,Cleveland Cavaliers,123,Minnesota Timberwolves,106,Box Score,,"15,694",
"Fri, Dec 10, 2021",8:00p,Detroit Pistons,93,New Orleans Pelicans,109,Box Score,,"15,828",
"Fri, Dec 10, 2021",8:00p,Los Angeles Lakers,116,Oklahoma City Thunder,95,Box Score,,"16,523",
"Fri, Dec 10, 2021",10:00p,Boston Celtics,90,Phoenix Suns,111,Box Score,,"17,071",
"Sat, Dec 11, 2021",3:30p,Orlando Magic,104,Los Angeles Clippers,106,Box Score,,"17,156",
"Sat, Dec 11, 2021",7:00p,Utah Jazz,123,Washington Wizards,98,Box Score,,"17,575",
"Sat, Dec 11, 2021",8:00p,Sacramento Kings,103,Cleveland Cavaliers,117,Box Score,,"19,432",
"Sat, Dec 11, 2021",8:00p,Houston Rockets,106,Memphis Grizzlies,113,Box Score,,"17,794",
"Sat, Dec 11, 2021",8:00p,Chicago Bulls,92,Miami Heat,118,Box Score,,"19,731",
"Sat, Dec 11, 2021",8:30p,Golden State Warriors,93,Philadelphia 76ers,102,Box Score,,"21,016",
"Sat, Dec 11, 2021",8:30p,Denver Nuggets,127,San Antonio Spurs,112,Box Score,,"14,607",
"Sun, Dec 12, 2021",12:00p,Milwaukee Bucks,112,New York Knicks,97,Box Score,,"19,812",
"Sun, Dec 12, 2021",6:00p,Brooklyn Nets,116,Detroit Pistons,104,Box Score,,"15,289",
"Sun, Dec 12, 2021",7:00p,Dallas Mavericks,103,Oklahoma City Thunder,84,Box Score,,"15,747",
"Sun, Dec 12, 2021",7:00p,New Orleans Pelicans,97,San Antonio Spurs,112,Box Score,,"14,990",
"Sun, Dec 12, 2021",9:00p,Minnesota Timberwolves,116,Portland Trail Blazers,111,Box Score,,"16,591",
"Sun, Dec 12, 2021",9:30p,Orlando Magic,94,Los Angeles Lakers,106,Box Score,,"18,997",
"Mon, Dec 13, 2021",7:00p,Miami Heat,94,Cleveland Cavaliers,105,Box Score,,"17,401",
"Mon, Dec 13, 2021",7:00p,Golden State Warriors,102,Indiana Pacers,100,Box Score,,"17,018",
"Mon, Dec 13, 2021",7:00p,Sacramento Kings,101,Toronto Raptors,124,Box Score,,"19,463",
"Mon, Dec 13, 2021",7:30p,Houston Rockets,132,Atlanta Hawks,126,Box Score,,"14,456",
"Mon, Dec 13, 2021",7:30p,Milwaukee Bucks,103,Boston Celtics,117,Box Score,,"19,156",
"Mon, Dec 13, 2021",8:00p,Philadelphia 76ers,91,Memphis Grizzlies,126,Box Score,,"13,420",
"Mon, Dec 13, 2021",8:30p,Charlotte Hornets,96,Dallas Mavericks,120,Box Score,,"19,213",
"Mon, Dec 13, 2021",9:00p,Washington Wizards,107,Denver Nuggets,113,Box Score,,"14,632",
"Mon, Dec 13, 2021",10:30p,Phoenix Suns,95,Los Angeles Clippers,111,Box Score,,"17,909",
"Tue, Dec 14, 2021",7:30p,Toronto Raptors,129,Brooklyn Nets,131,Box Score,OT,"17,325",
"Tue, Dec 14, 2021",7:30p,Golden State Warriors,105,New York Knicks,96,Box Score,,"19,812",
"Tue, Dec 14, 2021",10:00p,Phoenix Suns,111,Portland Trail Blazers,107,Box Score,OT,"16,184",
"Wed, Dec 15, 2021",7:00p,Houston Rockets,89,Cleveland Cavaliers,124,Box Score,,"17,131",
"Wed, Dec 15, 2021",7:00p,Atlanta Hawks,111,Orlando Magic,99,Box Score,,"13,576",
"Wed, Dec 15, 2021",7:00p,Miami Heat,101,Philadelphia 76ers,96,Box Score,,"20,389",
"Wed, Dec 15, 2021",7:30p,Los Angeles Lakers,107,Dallas Mavericks,104,Box Score,OT,"20,270",
"Wed, Dec 15, 2021",8:00p,Indiana Pacers,99,Milwaukee Bucks,114,Box Score,,"17,341",
"Wed, Dec 15, 2021",8:00p,New Orleans Pelicans,113,Oklahoma City Thunder,110,Box Score,,"13,253",
"Wed, Dec 15, 2021",8:30p,Charlotte Hornets,131,San Antonio Spurs,115,Box Score,,"14,354",
"Wed, Dec 15, 2021",9:00p,Minnesota Timberwolves,124,Denver Nuggets,107,Box Score,,"15,365",
"Wed, Dec 15, 2021",10:00p,Memphis Grizzlies,113,Portland Trail Blazers,103,Box Score,,"15,773",
"Wed, Dec 15, 2021",10:00p,Washington Wizards,105,Sacramento Kings,119,Box Score,,"13,806",
"Wed, Dec 15, 2021",10:00p,Los Angeles Clippers,103,Utah Jazz,124,Box Score,,"18,306",
"Thu, Dec 16, 2021",7:00p,Detroit Pistons,113,Indiana Pacers,122,Box Score,,"13,596",
"Thu, Dec 16, 2021",7:30p,Philadelphia 76ers,105,Brooklyn Nets,114,Box Score,,"17,053",
"Thu, Dec 16, 2021",8:00p,New York Knicks,116,Houston Rockets,103,Box Score,,"13,857",
"Thu, Dec 16, 2021",9:00p,Washington Wizards,98,Phoenix Suns,118,Box Score,,"16,177",
"Fri, Dec 17, 2021",7:00p,Miami Heat,115,Orlando Magic,105,Box Score,,"14,103",
"Fri, Dec 17, 2021",7:30p,Denver Nuggets,133,Atlanta Hawks,115,Box Score,,"16,114",
"Fri, Dec 17, 2021",7:30p,Golden State Warriors,111,Boston Celtics,107,Box Score,,"19,156",
"Fri, Dec 17, 2021",8:00p,Milwaukee Bucks,112,New Orleans Pelicans,116,Box Score,OT,"15,504",
"Fri, Dec 17, 2021",9:00p,San Antonio Spurs,128,Utah Jazz,126,Box Score,,"18,306",
"Fri, Dec 17, 2021",10:00p,Los Angeles Lakers,92,Minnesota Timberwolves,110,Box Score,,"17,136",
"Fri, Dec 17, 2021",10:00p,Charlotte Hornets,116,Portland Trail Blazers,125,Box Score,,"18,399",
"Fri, Dec 17, 2021",10:00p,Memphis Grizzlies,124,Sacramento Kings,105,Box Score,,"14,659",
"Sat, Dec 18, 2021",12:00p,Houston Rockets,116,Detroit Pistons,107,Box Score,,"13,722",
"Sat, Dec 18, 2021",7:00p,New York Knicks,107,Boston Celtics,114,Box Score,,"19,156",
"Sat, Dec 18, 2021",7:30p,Orlando Magic,100,Brooklyn Nets,93,Box Score,,"16,292",
"Sat, Dec 18, 2021",7:30p,Golden State Warriors,100,Toronto Raptors,119,Box Score,,"7,988",
"Sat, Dec 18, 2021",8:00p,Los Angeles Clippers,103,Oklahoma City Thunder,104,Box Score,,"15,123",
"Sat, Dec 18, 2021",9:00p,Cleveland Cavaliers,119,Milwaukee Bucks,90,Box Score,,"17,341",
"Sat, Dec 18, 2021",9:00p,Washington Wizards,109,Utah Jazz,103,Box Score,,"18,306",
"Sun, Dec 19, 2021",6:00p,Miami Heat,90,Detroit Pistons,100,Box Score,,"15,188",
"Sun, Dec 19, 2021",6:00p,Portland Trail Blazers,105,Memphis Grizzlies,100,Box Score,,"15,977",
"Sun, Dec 19, 2021",6:00p,San Antonio Spurs,114,Sacramento Kings,121,Box Score,,"15,091",
"Sun, Dec 19, 2021",8:00p,Los Angeles Lakers,110,Chicago Bulls,115,Box Score,,"21,560",
"Sun, Dec 19, 2021",8:00p,Dallas Mavericks,105,Minnesota Timberwolves,111,Box Score,,"16,127",
"Sun, Dec 19, 2021",8:00p,Charlotte Hornets,106,Phoenix Suns,137,Box Score,,"17,071",
"Mon, Dec 20, 2021",7:30p,Philadelphia 76ers,108,Boston Celtics,103,Box Score,,"19,156",
"Mon, Dec 20, 2021",8:00p,Houston Rockets,118,Chicago Bulls,133,Box Score,,"21,150",
"Mon, Dec 20, 2021",8:00p,Oklahoma City Thunder,102,Memphis Grizzlies,99,Box Score,,"15,721",
"Mon, Dec 20, 2021",9:00p,Charlotte Hornets,102,Utah Jazz,112,Box Score,,"18,306",
"Mon, Dec 20, 2021",10:00p,Sacramento Kings,98,Golden State Warriors,113,Box Score,,"18,064",
"Mon, Dec 20, 2021",10:30p,San Antonio Spurs,116,Los Angeles Clippers,92,Box Score,,"18,096",
"Tue, Dec 21, 2021",7:30p,Indiana Pacers,96,Miami Heat,125,Box Score,,"19,600",
"Tue, Dec 21, 2021",7:30p,Detroit Pistons,91,New York Knicks,105,Box Score,,"17,906",
"Tue, Dec 21, 2021",8:00p,Portland Trail Blazers,97,New Orleans Pelicans,111,Box Score,,"15,272",
"Tue, Dec 21, 2021",8:30p,Minnesota Timberwolves,102,Dallas Mavericks,114,Box Score,,"20,056",
"Tue, Dec 21, 2021",10:00p,Phoenix Suns,108,Los Angeles Lakers,90,Box Score,,"18,997",
"Wed, Dec 22, 2021",7:30p,Orlando Magic,104,Atlanta Hawks,98,Box Score,,"15,299",
"Wed, Dec 22, 2021",7:30p,Cleveland Cavaliers,101,Boston Celtics,111,Box Score,,"19,156",
"Wed, Dec 22, 2021",8:00p,Houston Rockets,106,Milwaukee Bucks,126,Box Score,,"17,341",
"Wed, Dec 22, 2021",8:00p,Denver Nuggets,94,Oklahoma City Thunder,108,Box Score,,"14,932",
"Wed, Dec 22, 2021",10:00p,Los Angeles Clippers,105,Sacramento Kings,89,Box Score,,"15,386",
"Thu, Dec 23, 2021",7:00p,Houston Rockets,106,Indiana Pacers,118,Box Score,,"15,089",
"Thu, Dec 23, 2021",7:00p,New Orleans Pelicans,110,Orlando Magic,104,Box Score,,"13,954",
"Thu, Dec 23, 2021",7:00p,Atlanta Hawks,98,Philadelphia 76ers,96,Box Score,,"20,408",
"Thu, Dec 23, 2021",7:30p,Detroit Pistons,112,Miami Heat,115,Box Score,,"19,600",
"Thu, Dec 23, 2021",7:30p,Washington Wizards,124,New York Knicks,117,Box Score,,"18,208",
"Thu, Dec 23, 2021",8:30p,Milwaukee Bucks,102,Dallas Mavericks,95,Box Score,,"19,654",
"Thu, Dec 23, 2021",9:00p,Charlotte Hornets,115,Denver Nuggets,107,Box Score,,"17,003",
"Thu, Dec 23, 2021",9:00p,Oklahoma City Thunder,101,Phoenix Suns,113,Box Score,,"17,071",
"Thu, Dec 23, 2021",9:00p,Minnesota Timberwolves,116,Utah Jazz,128,Box Score,,"18,306",
"Thu, Dec 23, 2021",10:00p,Memphis Grizzlies,104,Golden State Warriors,113,Box Score,,"18,064",
"Thu, Dec 23, 2021",10:30p,San Antonio Spurs,138,Los Angeles Lakers,110,Box Score,,"18,997",
"Sat, Dec 25, 2021",12:00p,Atlanta Hawks,87,New York Knicks,101,Box Score,,"19,812",
"Sat, Dec 25, 2021",2:30p,Boston Celtics,113,Milwaukee Bucks,117,Box Score,,"17,341",
"Sat, Dec 25, 2021",5:00p,Golden State Warriors,116,Phoenix Suns,107,Box Score,,"17,071",
"Sat, Dec 25, 2021",8:00p,Brooklyn Nets,122,Los Angeles Lakers,115,Box Score,,"18,997",
"Sat, Dec 25, 2021",10:30p,Dallas Mavericks,116,Utah Jazz,120,Box Score,,"18,306",
"Sun, Dec 26, 2021",3:30p,Orlando Magic,83,Miami Heat,93,Box Score,,"19,600",
"Sun, Dec 26, 2021",6:00p,Toronto Raptors,99,Cleveland Cavaliers,144,Box Score,,"19,432",
"Sun, Dec 26, 2021",6:00p,Memphis Grizzlies,127,Sacramento Kings,102,Box Score,,"15,685",
"Sun, Dec 26, 2021",6:00p,Philadelphia 76ers,117,Washington Wizards,96,Box Score,,"16,767",
"Sun, Dec 26, 2021",7:00p,New Orleans Pelicans,112,Oklahoma City Thunder,117,Box Score,,"15,608",
"Sun, Dec 26, 2021",7:00p,Detroit Pistons,109,San Antonio Spurs,144,Box Score,,"14,715",
"Sun, Dec 26, 2021",8:00p,Indiana Pacers,105,Chicago Bulls,113,Box Score,,"20,475",
"Sun, Dec 26, 2021",9:00p,Denver Nuggets,103,Los Angeles Clippers,100,Box Score,,"17,759",
"Mon, Dec 27, 2021",7:00p,Houston Rockets,99,Charlotte Hornets,123,Box Score,,"19,349",
"Mon, Dec 27, 2021",7:30p,Chicago Bulls,130,Atlanta Hawks,118,Box Score,,"17,049",
"Mon, Dec 27, 2021",8:00p,Boston Celtics,103,Minnesota Timberwolves,108,Box Score,,"15,962",
"Mon, Dec 27, 2021",8:30p,Utah Jazz,110,San Antonio Spurs,104,Box Score,,"16,255",
"Mon, Dec 27, 2021",9:00p,Memphis Grizzlies,114,Phoenix Suns,113,Box Score,,"17,071",
"Mon, Dec 27, 2021",10:00p,Dallas Mavericks,132,Portland Trail Blazers,117,Box Score,,"18,430",
"Mon, Dec 27, 2021",10:30p,Brooklyn Nets,124,Los Angeles Clippers,108,Box Score,,"17,128",
"Tue, Dec 28, 2021",7:00p,Milwaukee Bucks,127,Orlando Magic,110,Box Score,,"16,696",
"Tue, Dec 28, 2021",7:30p,Washington Wizards,112,Miami Heat,119,Box Score,,"19,600",
"Tue, Dec 28, 2021",7:30p,Philadelphia 76ers,114,Toronto Raptors,109,Box Score,,"6,960",
"Tue, Dec 28, 2021",8:00p,Los Angeles Lakers,132,Houston Rockets,123,Box Score,,"18,104",
"Tue, Dec 28, 2021",8:00p,New York Knicks,96,Minnesota Timberwolves,88,Box Score,,"16,339",
"Tue, Dec 28, 2021",8:00p,Cleveland Cavaliers,104,New Orleans Pelicans,108,Box Score,,"15,835",
